path,size_bytes,file_count,directory_count,primary_classification,regenerability,path_disposition,writer_summary,reader_summary,durable,provenance_quality,preservation_decision,notes
outputs/market_state/,2536,1,0,HISTORICAL_RESULT,REGENERABLE,KEEP_IN_PLACE,"scan_market_state.py","human scan review",no,WEAK_PROVENANCE,KEEP_IN_PLACE,"Allocator-facing scan output; separate from feature-matrix and GARCH portfolio paths"
outputs/monte_carlo/,44626465,253,48,STRESS_OR_MONTE_CARLO_ARTIFACT,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"MarketState and threshold Monte Carlo commands","plots comparisons and humans",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Summaries and bulky curves are mixed; seeds and exact inputs are not consistently manifested"
outputs/options_overlay/,798100,6,6,HISTORICAL_RESULT,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"backtest_options_overlay.py","human analysis",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Ticker-specific historical outputs"
outputs/portfolio_backtest/,150124,3,1,HISTORICAL_RESULT,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"backtest_market_state_portfolio.py","human analysis",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Historical GARCH portfolio mechanics; not allocator-facing MarketState authority"
outputs/regime/,32301938,109,61,HISTORICAL_RESULT,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"regime backtest commands","strategy_scorecard and regime comparison commands",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Large historical scorecard input tree"
outputs/reorg_audit/,453110,11,1,REPORT,REGENERABLE,KEEP_IN_PLACE,"tools/reorg audit and inventory commands","reorg documentation and humans",no,GOOD_PROVENANCE,KEEP_IN_PLACE,"Regenerable repository audit evidence with latest lane"
outputs/reports/,12161753,141,7,REPORT,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"comparison evaluation and plotting commands","human analysis and research notes",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"Selected summaries are durable; plots and raw comparison arrays are mixed"
outputs/research/,2049920,48,3,DURABLE_RESEARCH_EVIDENCE,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"threshold comparison scorecard and equity-layer commands","human research review",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"Compact scorecards and Markdown findings"
outputs/rust_inputs/,17789178,49,15,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"Rust portfolio and stress exporters","Rust engine and comparison diagnostics",yes,PARTIAL_PROVENANCE,KEEP_IN_PLACE,"CSV binary and JSON cross-language schema contracts; H20/H100 unresolved"
outputs/rust_stress/,91209372,278,75,STRESS_OR_MONTE_CARLO_ARTIFACT,PARTIALLY_REGENERABLE,PATH_CONTRACT,"Rust engine via documented export/run workflow","compare_actual_closed_trades.py research notes and humans",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Stress evidence and large per-run trials coexist; Rust was not invoked"
outputs/signals/,309966330,52,0,PIPELINE_INTERMEDIATE,PARTIALLY_REGENERABLE,PATH_CONTRACT,"peer-spread mean-reversion context deformation risk and intelligence commands","portfolio Rust allocator intelligence reporting and research commands",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Current and historical signal generations coexist; H20/H100 unresolved"
outputs/storage_audit/,1636189,4,0,REPORT,REGENERABLE,KEEP_IN_PLACE,"audit_quant_outputs.py","human storage review",no,GOOD_PROVENANCE,KEEP_IN_PLACE,"Phase/audit reports are small and explain prior deletions"
outputs/stress/,0,0,1,STRESS_OR_MONTE_CARLO_ARTIFACT,REGENERABLE,KEEP_IN_PLACE,"stress_mean_reversion_monte_carlo.py","human stress review",no,WEAK_PROVENANCE,KEEP_IN_PLACE,"Empty named run directory; zero-byte cleanup payoff"
outputs/threshold_rebalance/,187314564,134,19,DURABLE_RESEARCH_EVIDENCE,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"Fast V2 Fast V3 feature-matrix and matrix-engine commands","threshold comparison research and humans",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Generations and paired-curve experiments remain separate; authority unresolved"
outputs/tmp/,201280,1,0,SCRATCH_OR_TEMP,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"market-cap candidate experiment","market-cap rank-bonus research record",no,WEAK_PROVENANCE,KEEP_IN_PLACE,"Named candidate signal is referenced by experiment documentation; not proven disposable"
outputs/trades/,4091,1,0,REPORT,REGENERABLE,KEEP_IN_PLACE,"test_market_state_trades.py","human paper-trade review",no,WEAK_PROVENANCE,KEEP_IN_PLACE,"Historical MarketState trade plan"
outputs/volatility/,336617,2,1,HISTORICAL_RESULT,PARTIALLY_REGENERABLE,KEEP_IN_PLACE,"backtester.backtests.volatility_backtest","human diagnostics",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Ticker-specific historical CSV and plot"
outputs/worker_ingest/,11342717,14,1,EXTERNAL_OPERATIONAL_INTERFACE,NOT_PROVEN_REGENERABLE,PATH_CONTRACT,"Chromebook parser commands","event fact and outcome labeling plus legacy heuristic commands",yes,WEAK_PROVENANCE,KEEP_IN_PLACE,"Normalized local copy of external worker payloads; root worker_ingest remains untouched"
../dividend-capture/outputs/,4536281,60,19,DURABLE_RESEARCH_EVIDENCE,NOT_PROVEN_REGENERABLE,PATH_CONTRACT,"four historical dividend research families under research/dividend_capture","historical visualizations CSV analysis and humans",yes,WEAK_PROVENANCE,KEEP_ROOT_COMPATIBILITY,"Root path is documented by migrated commands; 34 original-universe files and 26 PG-like files remain distinct"
