path,category,exists,scanned_file_by_file,notes
stock-backtester/market_intelligence_v2_9_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_0_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_0_2_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_2_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_3_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_3_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_4_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_4_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_5_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_6_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_7_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_8_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_9_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_9_2_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v3_9_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v4_0_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v4_1_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v4_2_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v4_3_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v4_4_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v4_5_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v4_7_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_1_evidence_clean_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_2_1_sec_policy_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_2_policy_clean_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_3_1_sentiment_policy_features_clean_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_3_2_source_kind_features_clean_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_3_policy_features_clean_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_4_1_entity_false_positive_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_4_entity_master_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_5_1_request_budget_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_5_entity_search_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_6_1_rss_relevance_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_6_2_text_relevance_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_6_3_rss_title_gate_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_6_rss_historical_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_7_1_training_launcher_fix_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_7_2_training_launcher_prices_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.
stock-backtester/market_intelligence_v5_7_long_training_launcher_overlay,OVERLAY,yes,bounded source/doc scan,Patch source and documentation only.

