path,classification,subsystem,status,imports,input_paths,output_paths,invoked_by,docs_references,sacred,migration_risk,likely_destination,confidence,evidence
scripts/archive/visual_experiments/plot_rust_spaghetti.py,ARCHIVED / HISTORICAL,market_fabric,HISTORICAL,__future__;argparse;matplotlib.pyplot;pandas;pathlib,outputs,,,,no,MEDIUM,research/history or archive manifest,HIGH,archive/legacy path; preserved explicitly
scripts/archive/visual_experiments/render_market_fabric.py,ARCHIVED / HISTORICAL,market_fabric,HISTORICAL,__future__;argparse;cupy;json;matplotlib;matplotlib.colors;matplotlib.patches;matplotlib.pyplot;matplotlib.tri;mpl_toolkits.mplot3d;mpl_toolkits.mplot3d.art3d;numpy;pandas;pathlib;plotly.graph_objects;scipy.interpolate;scipy.ndimage;scipy.spatial;typing;warnings,,/tmp/quant_returns/.../returns_meta.json;outputs/reports/plots/market_fabric_v2;outputs/reports/plots/market_fabric_v2/;outputs/signals/large_universe_peer_spread_long_top5_v1.parquet,,,no,MEDIUM,research/history or archive manifest,HIGH,archive/legacy path; preserved explicitly
scripts/archive/visual_experiments/visualize_market_fabric_vispy.py,ARCHIVED / HISTORICAL,market_fabric,HISTORICAL,__future__;argparse;datetime;imageio.v3;json;numpy;pathlib;vispy;vispy.io;vispy.scene;vispy.scene.cameras;vispy.scene.visuals,,outputs/market_fabric_recordings;outputs/reports/plots/market_fabric_vispy_2020,,,no,MEDIUM,research/history or archive manifest,HIGH,archive/legacy path; preserved explicitly
scripts/archive_compact_artifact_to_git.py,MAINTENANCE TOOL,general,ACTIVE RESEARCH,__future__;argparse;datetime;hashlib;json;pathlib;shutil;subprocess,,,docs/output_cache_policy_v5_9.md,docs/output_cache_policy_v5_9.md,no,MEDIUM,src/quant_research or research/experiments,HIGH,audit/maintenance behavior
research/event_learning/evaluation/audit_event_day_impact_dataset.py,AUDIT COMMAND,event_learning_evaluation,ACTIVE RESEARCH,__future__;pandas;pathlib,,outputs/intelligence/audits;outputs/intelligence/event_day_impact_dataset.parquet,,,no,MEDIUM,research/event_learning/evaluation,HIGH,research audit behavior
research/event_learning/evaluation/audit_event_impact_dataset.py,AUDIT COMMAND,event_learning_evaluation,ACTIVE RESEARCH,__future__;pandas;pathlib,,outputs/intelligence/audits;outputs/intelligence/event_impact_dataset.parquet,,,no,MEDIUM,research/event_learning/evaluation,HIGH,research audit behavior
scripts/audit_historical_source_mix.py,MAINTENANCE TOOL,general,ACTIVE RESEARCH,__future__;argparse;json;pandas;pathlib,outputs,,docs/market_intelligence_v5_0.md,docs/market_intelligence_v5_0.md,no,MEDIUM,src/quant_research or research/experiments,HIGH,audit/maintenance behavior
scripts/audit_quant_outputs.py,MAINTENANCE TOOL,general,ACTIVE RESEARCH,__future__;argparse;csv;dataclasses;fnmatch;json;os;pathlib;typing,outputs,outputs/storage_audit/cleanup_plan.csv,docs/output_cache_policy_v5_9.md,docs/output_cache_policy_v5_9.md,no,MEDIUM,src/quant_research or research/experiments,HIGH,audit/maintenance behavior
scripts/augment_market_graph_frames_with_allocator_overlay.py,UNCERTAIN,market_fabric,UNCERTAIN,__future__;argparse;json;numpy;pandas;pathlib;shutil,,outputs/market_fabric/allocator_visual_overlay.parquet,docs/research_notes/regime_correlation_deformation.md;scripts/run_allocator_market_fabric_latest.sh;scripts/run_combined_allocator_market_fabric.sh;scripts/run_combined_allocator_market_fabric_latest.sh,docs/research_notes/regime_correlation_deformation.md,no,MEDIUM,USER DECISION REQUIRED,LOW,no sufficiently strong static role evidence
scripts/augment_market_graph_frames_with_trade_overlay.py,UNCERTAIN,market_fabric,UNCERTAIN,__future__;argparse;numpy;pandas;pathlib;shutil,,,,,no,MEDIUM,USER DECISION REQUIRED,LOW,no sufficiently strong static role evidence
scripts/backtest_market_state_portfolio.py,COMMAND / ENTRY POINT,market_state,ACTIVE RESEARCH,__future__;argparse;backtester.analytics.entropy;backtester.analytics.garch;backtester.analytics.garch_metrics;backtester.analytics.volatility;backtester.decision.entropy_decision;backtester.decision.market_state;backtester.decision.volatility_decision;matplotlib.pyplot;numpy;pandas;pathlib;tabulate;yfinance,outputs,outputs/portfolio_backtest/market_state_v1,docs/systems/market_state.md,docs/systems/market_state.md,no,MEDIUM,scripts compatibility wrapper + src/quant_research/pipelines,MEDIUM,run/backtest entry point with static references
scripts/backtest_mean_reversion_daily_portfolio.py,PIPELINE ORCHESTRATOR,mean_reversion,ACTIVE RESEARCH,__future__;argparse;dataclasses;numpy;pandas;pathlib;yfinance,,outputs/backtests/mean_reversion_daily_portfolio_h5;outputs/signals/mean_reversion_signals_context_adjusted.parquet,,,no,MEDIUM,scripts compatibility wrapper + src/quant_research/pipelines,MEDIUM,run/backtest entry point with static references
research/mean_reversion/backtest_mean_reversion_monte_carlo.py,EVALUATION / BENCHMARK,mean_reversion,ACTIVE RESEARCH,__future__;argparse;numpy;pandas;pathlib;yfinance,,outputs/backtests/mean_reversion_monte_carlo;outputs/signals/mean_reversion_signals_context_adjusted.parquet,,,no,MEDIUM,research/mean_reversion,MEDIUM,research evaluation
scripts/backtest_options_overlay.py,COMMAND / ENTRY POINT,options_volatility,ACTIVE RESEARCH,argparse;backtester.engines.options_overlay_engine;datetime;matplotlib.pyplot;pandas;pathlib;yfinance,,outputs/options_overlay,docs/market_state_engine.md,docs/market_state_engine.md,no,MEDIUM,scripts compatibility wrapper + src/quant_research/pipelines,MEDIUM,run/backtest entry point with static references
scripts/benchmark_array_backend.py,EVALUATION / BENCHMARK,general,ACTIVE RESEARCH,__future__;argparse;backtester.engines.array_backend;numpy;pandas;pathlib;time,,outputs/feature_matrix/rebalance_W/close_prices.csv;outputs/feature_matrix/rebalance_W/market_state_features.csv,README.md;docs/experiments/benchmark_scripts.md;docs/systems/cpu_gpu_matrix_backend.md,docs/experiments/benchmark_scripts.md;docs/systems/cpu_gpu_matrix_backend.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
scripts/benchmark_matrix_batch_ops.py,EVALUATION / BENCHMARK,allocator_matrix,ACTIVE RESEARCH,__future__;argparse;backtester.engines.array_backend;backtester.engines.matrix_batch_ops;numpy;pandas;pathlib;time,,outputs/feature_matrix/rebalance_W/close_prices.csv,README.md;docs/experiments/benchmark_scripts.md;docs/systems/cpu_gpu_matrix_backend.md,docs/experiments/benchmark_scripts.md;docs/systems/cpu_gpu_matrix_backend.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
research/mean_reversion/benchmark_same_universe_buy_hold.py,VALIDATION / DIAGNOSTIC,mean_reversion,ACTIVE RESEARCH,__future__;argparse;json;numpy;pandas;pathlib,,outputs/reports/buy_hold_same_universe_equity.csv;outputs/reports/buy_hold_same_universe_summary.csv,,,no,MEDIUM,research/mean_reversion,MEDIUM,same-universe control benchmark
research/combined_signals/build_allocator_intelligence_signals.py,DATA TRANSFORMATION,combined_signals,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.allocator_adjustment;pathlib;sys,,,,,no,MEDIUM,research/combined_signals,MEDIUM,derived-table or export behavior
research/combined_signals/build_allocator_intelligence_signals_v2.py,DATA TRANSFORMATION,combined_signals,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.allocator_adjustment;pathlib;sys,,,,docs/market_intelligence_v2_2.md,no,MEDIUM,research/combined_signals,MEDIUM,derived-table or export behavior
scripts/build_combined_market_signal_state.py,DATA TRANSFORMATION,general,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/allocator/combined_market_signal_state.parquet;outputs/allocator/combined_market_signal_state_latest.csv;outputs/context/market_context_with_regime_deformation.parquet;outputs/correlation/regime_ticker_stress_sensitivity.csv;outputs/signals/mean_reversion_signals_context_adjusted.parquet,scripts/run_combined_allocator_market_fabric.sh;scripts/run_combined_allocator_market_fabric_latest.sh,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_contextual_event_features.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.events.event_feature_builder;pathlib;sys,,outputs/intelligence/contextual_event_features.csv;outputs/intelligence/contextual_events.jsonl;outputs/intelligence/intelligence_features_with_events.csv,,docs/market_intelligence_v2_2.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_entity_master.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.entity_resolver;csv;json;pathlib;urllib.parse;urllib.request,data/intelligence/entity_master.csv,,docs/market_intelligence_v5_4_entity_master.md,docs/market_intelligence_v5_4_entity_master.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_event_day_impact_dataset.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.events.event_day_impact_dataset,,outputs/intelligence/event_day_impact_dataset.parquet;outputs/intelligence/event_impact_dataset.parquet,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_event_fact_table.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.events.event_fact_table,,outputs/intelligence/event_fact_table.parquet;outputs/worker_ingest/chromebook/cbworker_news_sources.parquet,scripts/run_worker_sources_to_events.sh,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_event_impact_dataset.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.events.event_impact_dataset,,outputs/intelligence/event_impact_dataset.parquet;outputs/intelligence/event_outcome_labels.parquet,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_historical_intelligence_panel_seed.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.features.historical_panel_builder;pathlib;sys,,,docs/market_intelligence_v3_5.md;docs/market_intelligence_v4_3.md,docs/market_intelligence_v3_5.md;docs/market_intelligence_v4_3.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_historical_news_features.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.features.historical_news_feature_builder;pathlib;sys,,,docs/market_intelligence_v3_6.md;docs/market_intelligence_v3_8.md;docs/market_intelligence_v3_9.md;docs/market_intelligence_v5_3_1_sentiment_policy_features.md;docs/market_intelligence_v5_3_policy_features.md;scripts/launch_long_intelligence_training.py,docs/market_intelligence_v3_6.md;docs/market_intelligence_v3_8.md;docs/market_intelligence_v3_9.md;docs/market_intelligence_v5_3_1_sentiment_policy_features.md;docs/market_intelligence_v5_3_policy_features.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_historical_sec_features.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.historical_feature_builder;pathlib;sys,,,docs/market_intelligence_v3_2.md,docs/market_intelligence_v3_2.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_intelligence_calibration_dataset.py,TRAINING,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.calibration.calibration_dataset;pathlib;sys,,,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,training/classification/calibration behavior
scripts/build_intelligence_price_features.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.batch;backtester.intelligence.price_risk;pathlib;sys,data/intelligence/features/price_risk_features.csv,,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
research/event_learning/evaluation/build_llm_benchmark_sample.py,BENCHMARK / RESEARCH EXPERIMENT,event_learning_evaluation,ACTIVE RESEARCH,__future__;argparse;hashlib;pandas;pathlib,,outputs/intelligence/event_fact_table.parquet;outputs/intelligence/llm_benchmark_mixed_50.parquet,scripts/workers/send_llm_worker_bundle.sh,,no,MEDIUM,research/event_learning/evaluation,MEDIUM,deterministic benchmark construction
scripts/build_market_cap_cache.py,DATA TRANSFORMATION,general,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib;time;yfinance,,outputs/cache/market_caps/market_caps_from_signals.csv,docs/experiments/market_cap_rank_bonus.md,docs/experiments/market_cap_rank_bonus.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_market_fabric_allocator_overlay.py,VISUALIZATION,market_fabric,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/allocator/pseudo_allocator_feature_table.parquet;outputs/market_fabric/allocator_overlay.parquet;outputs/market_fabric/allocator_overlay_latest.csv;outputs/market_fabric/allocator_overlay_summary.csv,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,visualization imports/paths or documented frame workflow
scripts/build_market_fabric_trade_overlay.py,VISUALIZATION,market_fabric,ACTIVE RESEARCH,__future__;argparse;json;numpy;pandas;pathlib;typing,,,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,visualization imports/paths or documented frame workflow
scripts/build_market_fabric_visual_overlay.py,VISUALIZATION,market_fabric,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/market_fabric/allocator_overlay.parquet;outputs/market_fabric/allocator_visual_overlay.parquet;outputs/market_fabric/allocator_visual_overlay_latest.csv,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,visualization imports/paths or documented frame workflow
scripts/build_market_fabric_visual_overlay_from_combined_state.py,VISUALIZATION,market_fabric,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/allocator/combined_market_signal_state.parquet;outputs/market_fabric/allocator_visual_overlay.parquet;outputs/market_fabric/allocator_visual_overlay_latest.csv,scripts/run_combined_allocator_market_fabric.sh;scripts/run_combined_allocator_market_fabric_latest.sh,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,visualization imports/paths or documented frame workflow
scripts/build_market_state_feature_matrix.py,DATA TRANSFORMATION,allocator_matrix,ACTIVE RESEARCH,__future__;argparse;backtester.analytics.entropy;backtester.analytics.fast_volatility;backtester.decision.entropy_decision;backtester.decision.market_state;backtester.decision.volatility_decision;numpy;pandas;pathlib;tabulate;yfinance,outputs,outputs/feature_matrix/market_state_v1,README.md;docs/experiments/feature_matrix_monte_carlo.md;docs/systems/market_state.md,docs/experiments/feature_matrix_monte_carlo.md;docs/systems/market_state.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_outcome_labels.py,DATA TRANSFORMATION,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.outcome_labels;pathlib;sys,,,,docs/market_intelligence_v2_5.md;docs/market_intelligence_v5_7_2_training_launcher_prices.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_pseudo_allocator_feature_table.py,DATA TRANSFORMATION,allocator_matrix,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/allocator/pseudo_allocator_feature_table.parquet;outputs/allocator/pseudo_allocator_feature_table_latest.csv;outputs/context/market_context_with_regime_deformation.parquet;outputs/correlation/regime_ticker_stress_sensitivity.csv;outputs/signals/mean_reversion_signals_context_adjusted.parquet,docs/research_notes/regime_correlation_deformation.md,docs/research_notes/regime_correlation_deformation.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_survivable_vol_price_features.py,DATA TRANSFORMATION,general,ACTIVE RESEARCH,__future__;pandas;pathlib,,outputs/feature_matrix/market_state_2018_2026_quality/close_prices.csv;outputs/features/survivable_vol_price_features.parquet,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_ticker_universe_sec.py,DATA TRANSFORMATION,general,ACTIVE RESEARCH,json;pandas;pathlib;re;urllib.request,,,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/build_universe.py,DATA TRANSFORMATION,general,ACTIVE RESEARCH,__future__;argparse;numpy;pandas;pathlib,,,docs/large_universe_pipline.md,docs/large_universe_pipline.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/calibrate_intelligence_weights.py,TRAINING,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.calibration.weight_calibrator;pathlib;sys,,outputs/intelligence/calibration/intelligence_weight_calibration.json,,,no,HIGH,src/quant_research or research/experiments,MEDIUM,training/classification/calibration behavior
scripts/check_intelligence_nlp.py,UNCERTAIN,intelligence,UNCERTAIN,__future__;argparse;backtester.intelligence.llm.nlp_runtime;json;pathlib;sys,,,,docs/market_intelligence_v2_6.md;docs/market_intelligence_v2_6_1.md,no,MEDIUM,USER DECISION REQUIRED,LOW,no sufficiently strong static role evidence
scripts/classify_event_facts_llm.py,TRAINING,intelligence,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.llm.llm_event_classifier;os,,outputs/intelligence/event_fact_table.parquet;outputs/intelligence/llm_event_classifications.jsonl,scripts/run_llm_classification_batch.py;scripts/workers/send_llm_worker_bundle.sh,docs/intelligence/phase2_api_llm_classifier.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,training/classification/calibration behavior
scripts/compact_intelligence_run.py,MAINTENANCE TOOL,intelligence,ACTIVE RESEARCH,__future__;argparse;csv;datetime;fnmatch;gzip;hashlib;json;os;pandas;pathlib;shutil;tarfile;typing,,outputs/compact_artifacts,docs/output_cache_policy_v5_9.md,docs/output_cache_policy_v5_9.md,no,HIGH,src/quant_research or research/experiments,HIGH,audit/maintenance behavior
scripts/compare_actual_closed_trades.py,EVALUATION / BENCHMARK,general,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/reports/deformation_actual_closed_trade_changes.csv;outputs/reports/deformation_actual_closed_trade_changes_summary.csv;outputs/rust_stress/h100_context_adjusted_baseline_100k/actual_closed_trades.csv;outputs/rust_stress/h100_deformation_weighted_soft_bf085_100k/actual_closed_trades.csv;outputs/signals/mean_reversion_signals_deformation_weighted_soft.parquet,docs/research_notes/regime_correlation_deformation.md,docs/research_notes/regime_correlation_deformation.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
research/combined_signals/compare_allocator_intelligence.py,EVALUATION / BENCHMARK,combined_signals,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.allocator_diagnostics;pathlib;sys,,outputs/intelligence/allocator_intelligence_comparison.csv,,docs/market_intelligence_v2_4.md,no,HIGH,research/combined_signals,MEDIUM,"comparison, diagnostics, or stress behavior"
research/combined_signals/compare_allocator_rankings.py,EVALUATION / BENCHMARK,combined_signals,ACTIVE RESEARCH,__future__;argparse;backtester.intelligence.allocator_diagnostics;backtester.intelligence.candidates;pandas;pathlib;sys,,outputs/intelligence/allocator_ranking_comparison.csv,docs/market_intelligence_v2_9.md,docs/market_intelligence_v2_9.md,no,MEDIUM,research/combined_signals,MEDIUM,"comparison, diagnostics, or stress behavior"
research/correlation/compare_deformation_weight_changed_orders.py,EVALUATION / BENCHMARK,correlation_deformation,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/reports/deformation_weight_changed_orders.csv;outputs/reports/deformation_weight_changed_orders_summary.csv;outputs/rust_inputs/h100_context_adjusted_baseline/orders.csv;outputs/rust_inputs/h100_deformation_weighted_soft_bf085/orders.csv;outputs/signals/mean_reversion_evaluation.parquet;outputs/signals/mean_reversion_signals_deformation_weighted_soft.parquet,,,no,MEDIUM,research/correlation,MEDIUM,deformation order comparison
scripts/compare_equity_layers.py,EVALUATION / BENCHMARK,general,ACTIVE RESEARCH,__future__;argparse;math;numpy;pandas;pathlib;typing,outputs,outputs/regime;outputs/research/equity_layer_comparison.csv;outputs/research/equity_layer_comparison.md;outputs/research/extreme_only_layer_comparison.csv;outputs/research/extreme_only_layer_comparison.md,docs/systems/options_overlay.md,docs/systems/options_overlay.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
scripts/compare_fast_v2_drift_thresholds.py,EVALUATION / BENCHMARK,allocator_matrix,ACTIVE RESEARCH,__future__;matplotlib.pyplot;pandas;pathlib,,outputs/research/threshold_rebalance_fast_v2_drift;outputs/threshold_rebalance,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
research/event_learning/evaluation/compare_llm_classification_runs.py,BENCHMARK / RESEARCH EXPERIMENT,event_learning_evaluation,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/intelligence/llm_provider_comparison.csv,,,no,MEDIUM,research/event_learning/evaluation,MEDIUM,classification comparison evidence
scripts/compare_rebalance_frequencies.py,EVALUATION / BENCHMARK,general,ACTIVE RESEARCH,__future__;matplotlib.pyplot;pandas;pathlib,,outputs/monte_carlo;outputs/research/rebalance_frequency,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
scripts/compare_regime_by_year.py,EVALUATION / BENCHMARK,general,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/comparisons/by_year;outputs/regime,docs/market_state_engine.md,docs/market_state_engine.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
scripts/compare_regime_runs.py,EVALUATION / BENCHMARK,general,ACTIVE RESEARCH,argparse;matplotlib.pyplot;pandas;pathlib,,outputs/comparisons,docs/market_state_engine.md,docs/market_state_engine.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
scripts/compare_strategy_vs_buy_hold.py,EVALUATION / BENCHMARK,general,ACTIVE RESEARCH,__future__;argparse;pandas;pathlib,,outputs/reports/rust_stress_scorecard.csv;outputs/reports/strategy_vs_buy_hold_scorecard.csv;outputs/reports/strategy_vs_buy_hold_scorecard.md,,,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
scripts/compare_threshold_portfolios.py,EVALUATION / BENCHMARK,allocator_matrix,ACTIVE RESEARCH,__future__;matplotlib.pyplot;pandas;pathlib,,outputs/research/threshold_rebalance;outputs/threshold_rebalance,docs/research_notes/next_steps.md,docs/research_notes/next_steps.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,"comparison, diagnostics, or stress behavior"
scripts/create_market_cap_boost_signals.py,DATA TRANSFORMATION,mean_reversion,ACTIVE RESEARCH,__future__;argparse;numpy;pandas;pathlib,,outputs/cache/market_caps/market_caps_from_signals.csv;outputs/signals/mean_reversion_signals_context_adjusted.parquet;outputs/signals/mean_reversion_signals_market_cap_boost.parquet,docs/experiments/market_cap_rank_bonus.md,docs/experiments/market_cap_rank_bonus.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/create_market_cap_rank_bonus_signals.py,DATA TRANSFORMATION,mean_reversion,ACTIVE RESEARCH,__future__;argparse;numpy;pandas;pathlib,,outputs/cache/market_caps/market_caps_context_adjusted_signal_tickers.csv;outputs/signals/mean_reversion_signals_context_adjusted.parquet;outputs/signals/mean_reversion_signals_market_cap_rank_bonus.parquet,docs/experiments/market_cap_rank_bonus.md,docs/experiments/market_cap_rank_bonus.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/create_market_cap_tiebreaker_signals.py,DATA TRANSFORMATION,mean_reversion,ACTIVE RESEARCH,__future__;argparse;numpy;pandas;pathlib,,outputs/cache/market_caps/market_caps_context_adjusted_signal_tickers.csv;outputs/signals/mean_reversion_signals_context_adjusted.parquet;outputs/signals/mean_reversion_signals_market_cap_tiebreaker.parquet,docs/experiments/market_cap_rank_bonus.md,docs/experiments/market_cap_rank_bonus.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
scripts/create_survivable_vol_backtest_signals.py,DATA TRANSFORMATION,mean_reversion,ACTIVE RESEARCH,__future__;pandas;pathlib,,outputs/signals/mean_reversion_signals_survivable_vol.parquet;outputs/signals/mean_reversion_signals_survivable_vol_backtest.parquet,docs/experiments/market_cap_rank_bonus.md,docs/experiments/market_cap_rank_bonus.md,no,MEDIUM,src/quant_research or research/experiments,MEDIUM,derived-table or export behavior
